2
Phi=90.0000000000002(deg)

Frequency	Theta	E Total. dB	E(Phi) . Amp dB	E(Theta) . Amp dB	E(Phi) . Phase	E(Theta) . Phase
2460000000	-0.41887902048	0.342305094902439	-16.3344530096877	0.247938499418701	-0.0515563725264571	-1.40008753539887
2460000000	-0.36651914292	-0.673064159877191	-15.7423473240225	-0.810374557910195	0.336588100149149	-1.13660973938525
2460000000	-0.31415926536	-1.32462164489789	-15.1963857585857	-1.50645256053301	0.739014517854396	-0.800116589080655
2460000000	-0.2617993878	-1.19776226584714	-14.3069201918418	-1.415384977727	1.15258254084521	-0.451751554938601
2460000000	-0.20943951024	-0.457064959537949	-13.0803292275081	-0.70118689599459	1.52715077669469	-0.171582494073427
2460000000	-0.15707963268	0.402464652787103	-11.8986549773226	0.138964579753305	1.84416121081859	0.0158451304904726
2460000000	-0.10471975512	1.06307726148769	-10.9623407136093	0.781735860149421	2.11685042359919	0.129592210589723
2460000000	-0.05235987756	1.43582801404824	-10.2543355184511	1.13109789860208	2.34997766952475	0.197223389471774
2460000000	0	1.47820705472195	-9.74468155551537	1.13746873134074	2.53144527637691	0.244553131237655
2460000000	0.05235987756	1.1508611658133	-9.49860196806594	0.759800326057133	-0.493152932814885	-2.84574784381623
2460000000	0.10471975512	0.403380243347752	-9.60316186401022	-0.0534683693937931	-0.437028678261814	-2.76358996138634
2460000000	0.15707963268	-0.739708060205172	-10.0886238758049	-1.27603963792921	-0.424776720558664	-2.61636955182943
2460000000	0.20943951024	-2.01472845690951	-10.9433766548482	-2.6094538357566	-0.431324485746365	-2.36383376098765
2460000000	0.2617993878	-2.74672012297924	-12.1310951234666	-3.27841224985331	-0.432915876921269	-2.00945892335551
2460000000	0.31415926536	-2.44778288013886	-13.6096164689331	-2.79354247527437	-0.417173460079324	-1.66732191955653
2460000000	0.36651914292	-1.64462670766192	-15.3182216466082	-1.83513568526416	-0.383160241199778	-1.43873456239069
2460000000	0.41887902048	-1.07901446138568	-17.2432370577687	-1.1853474085991	-0.333170209004735	-1.3170605897761
2460000000	0.47123889804	-1.08746687880549	-19.4111862651972	-1.15182842602261	-0.245703908336608	-1.26699191531752
2460000000	0.5235987756	-1.74706666069257	-21.672588570282	-1.79147357269991	-0.0502611060600628	-1.26711960587004
2460000000	0.5759586532	-3.02465775312995	-22.9718041005673	-3.06884297750301	0.321305318450996	-1.31162466732211
2460000000	0.6283185307	-4.80003558615933	-22.125460293204	-4.88118643461822	0.711272318346777	-1.40533043625252
2460000000	0.6806784083	-6.80825854016486	-20.4878117543349	-6.99850052423875	0.937217248369529	-1.5543102449922
2460000000	0.7330382858	-8.68537839121915	-19.4530770350429	-9.06546281897781	1.05455020674805	-1.74034269390119
2460000000	0.7853981634	-10.2479622377904	-19.3093045428397	-10.8235501556812	1.15888298452884	-1.89432799943473
2460000000	0.837758041	-11.6233356430378	-19.8874698221944	-12.3247413236675	1.33161150804948	-1.9122690404043
2460000000	0.8901179185	-12.4957089144705	-20.5927605374329	-13.2270742144956	1.63994967133677	-1.70272671857552
2460000000	0.9424777961	-11.5708134596486	-20.3749623855232	-12.1841144369127	2.06489327169795	-1.33128144344943
2460000000	0.9948376736	-8.92859285486062	-18.9318310897471	-9.38580810559082	2.46395156758442	-1.04821493022444
2460000000	1.0471975512	-6.09623157367491	-17.0794512227391	-6.45712768260398	2.75239626543628	-0.905547626977575
2460000000	1.0995574288	-3.73923523477187	-15.4090694537399	-4.04544674326492	2.93674067073517	-0.834085125446519
2460000000	1.1519173063	-1.94251093321983	-14.1051664013445	-2.21482063150914	3.03470565930948	-0.789139363207037
2460000000	1.2042771839	-0.648562401497131	-13.1805952451444	-0.898018503126828	3.06366296272753	-0.752145087394542
2460000000	1.2566370614	0.215335865888184	-12.5879166361053	-0.0186036195564618	3.04701049190271	-0.718170083055467
2460000000	1.308996939	0.717157553854215	-12.307564424515	0.495151335475918	3.01146689850902	-0.687457497276572
2460000000	1.3613568166	0.90905872617335	-12.3465483863687	0.698829714244467	2.97694800839055	-0.661771500841348
2460000000	1.4137166941	0.827936756703497	-12.714263663923	0.631441537809719	2.9471639410153	-0.640432492797423
2460000000	1.4660765717	0.490279807114838	-13.39317676423	0.308948124189271	2.90894714810843	-0.621573275287849
2460000000	1.5184364492	-0.103978653063179	-14.2819866516846	-0.27318488519726	2.84289578963817	-0.603430032706119
